#contig	Name	Description	start	stop	chr
chr1	ENSG00000117318.8	ID3	23557917	23559794	1
chr1	ENSG00000236810.5	ELOA-AS1	23771610	23778287	1
chr1	ENSG00000117308.14	GALE	23795598	23800804	1
chr1	ENSG00000179163.11	FUCA1	23845076	23868294	1
chr1	ENSG00000189266.11	PNRC2	23959108	23963462	1
chr1	ENSG00000142677.3	IL22RA1	24119770	24143121	1
chr1	ENSG00000185436.11	IFNLR1	24154156	24187959	1
chr1	ENSG00000184454.6	NCMAP	24556110	24609328	1
chr1	ENSG00000169504.14	CLIC4	24745356	24844324	1
chr1	ENSG00000020633.18	RUNX3	24899510	24965121	1
chr1	ENSG00000117616.17	RSRP1	25242236	25337916	1
chr1	ENSG00000261349.1	RP3-465N24.5	25266101	25267136	1
chr1	ENSG00000224183.1	SDHDP6	25294163	25294643	1
chr1	ENSG00000225643.1	RP11-70P17.1	25581477	25590356	1
chr1	ENSG00000117643.14	MAN1C1	25617467	25786207	1
chr1	ENSG00000233478.1	RP1-187B23.1	25644543	25659111	1
chr1	ENSG00000117632.22	STMN1	25884180	25906991	1
chr1	ENSG00000158006.13	PAFAH2	25959766	25998157	1
chr1	ENSG00000158022.6	TRIM63	26051303	26068436	1
chr1	ENSG00000175087.9	PDIK1L	26111164	26125543	1
chr1	ENSG00000197245.5	FAM110D	26159019	26163962	1
chr1	ENSG00000142675.17	CNKSR1	26177402	26189886	1
chr1	ENSG00000158062.20	UBXN11	26281522	26318363	1
chr1	ENSG00000169442.8	CD52	26317956	26320523	1
chr1	ENSG00000176092.14	AIM1L	26321858	26360052	1
chr1	ENSG00000176083.17	ZNF683	26361633	26374522	1
chr1	ENSG00000117682.16	DHDDS	26432281	26471294	1
chr1	ENSG00000060642.10	PIGV	26787471	26798398	1
chr1	ENSG00000175793.11	SFN	26863137	26864457	1
chr1	ENSG00000198746.12	GPATCH3	26890487	26900466	1
chr1	ENSG00000131910.4	NR0B2	26911488	26913966	1
chr1	ENSG00000175707.8	KDF1	26949561	26960406	1
chr1	ENSG00000253368.3	TRNP1	26993706	27000898	1
chr1	ENSG00000158246.7	FAM46B	27005019	27012836	1
chr1	ENSG00000142765.17	SYTL1	27342019	27353932	1
chr1	ENSG00000142733.14	MAP3K6	27355183	27366892	1
chr1	ENSG00000142748.12	FCN3	27369111	27374824	1
chr1	ENSG00000174950.10	CD164L2	27379175	27383380	1
chr1	ENSG00000181773.6	GPR3	27392643	27395814	1
chr1	ENSG00000237429.1	RP1-159A19.4	27525804	27530561	1
chr1	ENSG00000126705.13	AHDC1	27534034	27604431	1
chr1	ENSG00000000938.12	FGR	27612063	27635277	1
chr1	ENSG00000235912.1	RP1-159A19.3	27649418	27649610	1
chr1	ENSG00000126709.14	IFI6	27666060	27672218	1
chr1	ENSG00000269971.1	RP3-426I6.5	27773857	27774041	1
chr1	ENSG00000270031.1	RP3-426I6.6	27819982	27820341	1
chr1	ENSG00000117751.17	PPP1R8	27830777	27851676	1
chr1	ENSG00000130775.15	THEMIS2	27872542	27886685	1
chr1	ENSG00000130768.14	SMPDL3B	27934992	27959157	1
chr1	ENSG00000158156.7	XKR8	27959461	27968096	1
chr1	ENSG00000238231.2	RP11-460I13.6	27990157	27990524	1
chr1	ENSG00000228589.3	SPCS2P4	28095741	28096422	1
chr1	ENSG00000169403.11	PTAFR	28147165	28193936	1
chr1	ENSG00000270605.1	RP5-1092A3.4	28239508	28241453	1
chr1	ENSG00000130766.4	SESN2	28259526	28282491	1
chr1	ENSG00000130772.13	MED18	28329001	28335967	1
chr1	ENSG00000180198.15	RCC1	28505942	28539300	1
chr1	ENSG00000274266.1	SNORA73A	28507365	28507571	1
chr1	ENSG00000200087.1	SNORA73B	28508558	28508762	1
chr1	ENSG00000197989.13	SNHG12	28578545	28582983	1
chr1	ENSG00000278274.1	SNORA61	28579763	28579893	1
chr1	ENSG00000273544.1	SNORA44	28580380	28580512	1
chr1	ENSG00000188060.7	RAB42	28592199	28595443	1
chr1	ENSG00000253304.1	TMEM200B	29120046	29123935	1
chr1	ENSG00000277916.1	uc_338	29171284	29171453	1
chr1	ENSG00000060656.19	PTPRU	29236515	29326813	1
chr1	ENSG00000162511.7	LAPTM5	30732468	30757820	1
chr1	ENSG00000229447.2	RP11-490K7.4	31263244	31263681	1
chr1	ENSG00000121769.7	FABP3	31365624	31376850	1
chr1	ENSG00000168528.11	SERINC2	31409564	31434680	1
chr1	ENSG00000142910.15	TINAGL1	31576484	31587686	1
chr1	ENSG00000235790.7	RP11-73M7.6	31644048	31660162	1
chr1	ENSG00000084636.17	COL16A1	31652246	31704319	1
chr1	ENSG00000121753.12	ADGRB2	31727116	31764893	1
chr1	ENSG00000134668.12	SPOCD1	31790421	31816051	1
chr1	ENSG00000269967.1	RP11-84A19.4	31851912	31921841	1
chr1	ENSG00000222046.2	DCDC2B	32209093	32215846	1
chr1	ENSG00000160055.19	TMEM234	32214476	32222357	1
chr1	ENSG00000220785.7	MTMR9LP	32231657	32241620	1
chr1	ENSG00000183615.5	FAM167B	32247232	32248856	1
chr1	ENSG00000182866.16	LCK	32251238	32286165	1
chr1	ENSG00000175130.6	MARCKSL1	32333831	32336379	1
chr1	ENSG00000162526.6	TSSK3	32351520	32364312	1
chr1	ENSG00000225828.1	FAM229A	32361269	32362196	1
chr1	ENSG00000162520.14	SYNC	32694864	32703596	1
chr1	ENSG00000162522.10	KIAA1522	32741884	32774970	1
chr1	ENSG00000134684.10	YARS	32775236	32818153	1
chr1	ENSG00000160097.16	FNDC5	32862267	32872482	1
chr1	ENSG00000142920.16	AZIN2	33081103	33120530	1
chr1	ENSG00000160094.14	ZNF362	33256544	33300719	1
chr1	ENSG00000225313.5	RP11-415J8.3	33313323	33349245	1
chr1	ENSG00000134686.18	PHC2	33323622	33431052	1
chr1	ENSG00000222112.1	RN7SKP16	33336565	33336864	1
chr1	ENSG00000189280.3	GJB5	34755046	34758512	1
chr1	ENSG00000188910.7	GJB3	34781188	34786369	1
chr1	ENSG00000187513.8	GJA4	34792997	34795747	1
chr1	ENSG00000241014.1	RP11-244H3.1	34974355	34978706	1
chr1	ENSG00000092853.13	CLSPN	35720217	35769967	1
chr1	ENSG00000232862.5	RP4-665N4.4	36080065	36084026	1
chr1	ENSG00000092850.11	TEKT2	36084074	36088275	1
chr1	ENSG00000116863.10	ADPRHL2	36088874	36093932	1
chr1	ENSG00000171812.12	COL8A2	36095235	36125220	1
chr1	ENSG00000214193.10	SH3D21	36306386	36324886	1
chr1	ENSG00000142694.6	EVA1B	36322030	36323615	1
chr1	ENSG00000116883.8	RP11-268J15.5	36323733	36329221	1
chr1	ENSG00000116885.18	OSCP1	36415826	36450451	1
chr1	ENSG00000119535.17	CSF3R	36466042	36483278	1
chr1	ENSG00000163874.10	ZC3H12A	37474551	37484379	1
chr1	ENSG00000163879.10	DNALI1	37556918	37566815	1
chr1	ENSG00000169218.13	RSPO1	37611349	37634923	1
chr1	ENSG00000134690.10	CDCA8	37692417	37709719	1
chr1	ENSG00000185090.14	MANEAL	37793801	37801137	1
chr1	ENSG00000183386.9	FHL3	37996769	38005606	1
chr1	ENSG00000127603.23	MACF1	39081315	39487177	1
chr1	ENSG00000270040.1	RP11-416A14.1	39206511	39206957	1
chr1	ENSG00000182109.7	RP11-69E11.4	39522279	39546187	1
chr1	ENSG00000201457.1	SNORA55	39567373	39567508	1
chr1	ENSG00000163909.7	HEYL	39624152	39639945	1
chr1	ENSG00000116983.12	HPCAL4	39678647	39691689	1
chr1	ENSG00000116990.10	MYCL	39895425	39902256	1
chr1	ENSG00000168389.17	MFSD2A	39955111	39969968	1
chr1	ENSG00000228477.1	RP3-342P20.2	39962679	39963404	1
chr1	ENSG00000117000.8	RLF	40161372	40240921	1
chr1	ENSG00000259943.1	RP1-39G22.7	40256426	40257967	1
chr1	ENSG00000084073.8	ZMPSTE24	40258106	40294184	1
chr1	ENSG00000049089.13	COL9A2	40300486	40317294	1
chr1	ENSG00000084070.11	SMAP2	40344849	40423326	1
chr1	ENSG00000164002.11	EXO5	40508740	40516556	1
chr1	ENSG00000117016.9	RIMS3	40620678	40665657	1
chr1	ENSG00000272145.1	NFYC-AS1	40690379	40692007	1
chr1	ENSG00000117013.14	KCNQ4	40784011	40840452	1
chr1	ENSG00000179862.6	CITED4	40861050	40862366	1
chr1	ENSG00000171793.13	CTPS1	40979334	41012565	1
chr1	ENSG00000229901.1	RP11-399E6.4	41375003	41375669	1
chr1	ENSG00000127129.9	EDN2	41478774	41484673	1
chr1	ENSG00000127124.14	HIVEP3	41506364	42035925	1
chr1	ENSG00000230638.4	RP11-486B10.4	41542068	41544310	1
chr1	ENSG00000197273.3	GUCA2A	42162690	42164718	1
chr1	ENSG00000177181.14	RIMKLA	42380794	42422578	1
chr1	ENSG00000066185.12	ZMYND12	42430328	42456116	1
chr1	ENSG00000127125.8	PPCS	42456267	42460414	1
chr1	ENSG00000186409.14	CCDC30	42463329	42654664	1
chr1	ENSG00000236876.3	TMSB4XP1	42500204	42500339	1
chr1	ENSG00000164010.13	ERMAP	42817123	42844989	1
chr1	ENSG00000164011.17	ZNF691	42846572	42852477	1
chr1	ENSG00000117394.20	SLC2A1	42925374	42959048	1
chr1	ENSG00000186973.10	FAM183A	43145152	43156396	1
chr1	ENSG00000117395.12	EBNA1BP2	43164174	43270936	1
chr1	ENSG00000243710.7	CFAP57	43172863	43254358	1
chr1	ENSG00000179178.10	TMEM125	43269993	43274002	1
chr1	ENSG00000253313.5	C1orf210	43281882	43285617	1
chr1	ENSG00000066056.13	TIE1	43300992	43323108	1
chr1	ENSG00000234694.1	RP1-92O14.3	43354683	43358658	1
chr1	ENSG00000117399.13	CDC20	43358954	43363203	1
chr1	ENSG00000142949.16	PTPRF	43525186	43623666	1
chr1	ENSG00000117407.16	ARTN	43933319	43937241	1
chr1	ENSG00000132768.13	DPH2	43969999	43973369	1
chr1	ENSG00000117411.16	B4GALT2	43978942	43991170	1
chr1	ENSG00000159214.12	CCDC24	43991358	43996482	1
chr1	ENSG00000196517.11	SLC6A9	43991499	44031467	1
chr1	ENSG00000171872.4	KLF17	44118849	44135140	1
chr1	ENSG00000126106.13	TMEM53	44635237	44674555	1
chr1	ENSG00000198520.10	C1orf228	44674712	44725591	1
chr1	ENSG00000142945.12	KIF2C	44739817	44767767	1
chr1	ENSG00000200913.1	SNORD46	44776489	44776593	1
chr1	ENSG00000142959.4	BEST4	44783584	44787705	1
chr1	ENSG00000173846.12	PLK3	44800224	44805912	1
chr1	ENSG00000188396.3	TCTEX1D4	44805990	44806675	1
chr1	ENSG00000222009.8	BTBD19	44808481	44814129	1
chr1	ENSG00000281912.1	LINC01144	45303909	45305619	1
chr1	ENSG00000132773.11	TOE1	45339669	45343882	1
chr1	ENSG00000280670.2	CCDC163	45493865	45500052	1
chr1	ENSG00000117448.13	AKR1A1	45550542	45570049	1
chr1	ENSG00000159588.14	CCDC17	45620043	45624057	1
chr1	ENSG00000225447.1	RPS15AP10	45645815	45646197	1
chr1	ENSG00000234329.1	RP11-767N6.2	45651038	45651826	1
chr1	ENSG00000159596.6	TMEM69	45687213	45694323	1
chr1	ENSG00000117461.14	PIK3R3	46040139	46133036	1
chr1	ENSG00000226957.1	RP4-533D7.4	46046817	46048368	1
chr1	ENSG00000117472.9	TSPAN1	46175072	46185958	1
chr1	ENSG00000171357.5	LURAP1	46203333	46221261	1
chr1	ENSG00000085999.11	RAD54L	46247687	46274717	1
chr1	ENSG00000117480.15	FAAH	46394264	46413848	1
chr1	ENSG00000269956.1	MKNK1-AS1	46538695	46570255	1
chr1	ENSG00000142973.13	CYP4B1	46757837	46819413	1
chr1	ENSG00000186377.7	CYP4X1	47023567	47050751	1
chr1	ENSG00000186160.4	CYP4Z1	47067487	47118319	1
chr1	ENSG00000224805.2	LINC00853	47179271	47180339	1
chr1	ENSG00000162366.7	PDZK1IP1	47183592	47191044	1
chr1	ENSG00000162367.11	TAL1	47216289	47232220	1
chr1	ENSG00000226252.1	RP1-18D14.7	47225889	47230750	1
chr1	ENSG00000237424.1	FOXD2-AS1	47432132	47434641	1
chr1	ENSG00000269113.3	TRABD2B	47760527	47996895	1
chr1	ENSG00000117834.12	SLC5A9	48222684	48248644	1
chr1	ENSG00000272491.1	RP5-1024N4.4	48227887	48229561	1
chr1	ENSG00000132122.11	SPATA6	48295371	48472208	1
chr1	ENSG00000162373.12	BEND5	48727522	48776969	1
chr1	ENSG00000123080.10	CDKN2C	50960744	50974633	1
chr1	ENSG00000085831.15	TTC39A	51287257	51345116	1
chr1	ENSG00000261664.5	TTC39A-AS1	51329653	51335324	1
chr1	ENSG00000198841.3	KTI12	52032102	52033390	1
chr1	ENSG00000228407.2	RP4-800M22.1	52160260	52160600	1
chr1	ENSG00000272100.1	RP11-155O18.6	52353647	52353877	1
chr1	ENSG00000085840.12	ORC1	52372828	52404459	1
chr1	ENSG00000116157.5	GPX7	52602371	52609051	1
chr1	ENSG00000162377.5	COA7	52684450	52698366	1
chr1	ENSG00000228929.1	RPS13P2	52772193	52772648	1
chr1	ENSG00000121310.16	ECHDC2	52895909	52927212	1
chr1	ENSG00000230953.2	RP4-631H13.6	52920421	52920596	1
chr1	ENSG00000174348.13	PODN	53062051	53085134	1
chr1	ENSG00000162383.11	SLC1A7	53087178	53142632	1
chr1	ENSG00000235563.1	RP11-334A14.8	53114575	53118609	1
chr1	ENSG00000157184.6	CPT2	53196428	53214098	1
chr1	ENSG00000157193.15	LRP8	53242363	53328070	1
chr1	ENSG00000203985.10	LDLRAD1	54007298	54018186	1
chr1	ENSG00000280378.1	RP4-758J24.6	54033125	54034880	1
chr1	ENSG00000184313.19	MROH7	54641753	54710266	1
chr1	ENSG00000162396.5	PARS2	54756897	54764514	1
chr1	ENSG00000006555.10	TTC22	54779711	54801267	1
chr1	ENSG00000116133.11	DHCR24	54849632	54887218	1
chr1	ENSG00000143001.4	TMEM61	54980791	54992293	1
chr1	ENSG00000169174.10	PCSK9	55039547	55064852	1
chr1	ENSG00000260971.3	RP11-504A18.1	56248293	56258571	1
chr1	ENSG00000162407.8	PLPP3	56494746	56645301	1
chr1	ENSG00000236776.1	RPL21P23	56538451	56538911	1
chr1	ENSG00000162409.10	PRKAA2	56645321	56715335	1
chr1	ENSG00000187889.12	C1orf168	56718803	56819696	1
chr1	ENSG00000021852.12	C8B	56929209	56966140	1
chr1	ENSG00000162600.11	OMA1	58415383	58546802	1
chr1	ENSG00000184292.6	TACSTD2	58575422	58577773	1
chr1	ENSG00000177606.6	JUN	58780787	58784327	1
chr1	ENSG00000134709.10	HOOK1	59814785	59876378	1
chr1	ENSG00000134716.9	CYP2J2	59893307	59926790	1
chr1	ENSG00000162598.13	C1orf87	59987268	60073770	1
chr1	ENSG00000271200.1	RP11-430G17.3	61741997	61742424	1
chr1	ENSG00000132854.18	KANK4	62236978	62319414	1
chr1	ENSG00000125703.14	ATG4C	62784134	62865513	1
chr1	ENSG00000203965.12	EFCAB7	63523502	63572693	1
chr1	ENSG00000244256.3	RN7SL130P	63655742	63656047	1
chr1	ENSG00000185483.11	ROR1	63774021	64181498	1
chr1	ENSG00000162437.14	RAVER2	64745094	64833228	1
chr1	ENSG00000162433.14	AK4	65147548	65232145	1
chr1	ENSG00000116678.19	LEPR	65525688	65641559	1
chr1	ENSG00000184588.17	PDE4B	65792513	66374579	1
chr1	ENSG00000118473.21	SGIP1	66533382	66748299	1
chr1	ENSG00000248458.2	RP4-598P13.1	66665863	66677003	1
chr1	ENSG00000152760.9	TCTEX1D1	66752459	66778787	1
chr1	ENSG00000152763.16	WDR78	66812884	66924887	1
chr1	ENSG00000203963.11	C1orf141	67092164	67231853	1
chr1	ENSG00000275678.1	RP4-547N15.3	67121604	67123956	1
chr1	ENSG00000116717.11	GADD45A	67685060	67688338	1
chr1	ENSG00000162595.5	DIRAS3	68045961	68051631	1
chr1	ENSG00000197568.13	HHLA3	70354804	70385339	1
chr1	ENSG00000116761.11	CTH	70411217	70439851	1
chr1	ENSG00000271992.1	RP11-42O15.3	70445070	70445536	1
chr1	ENSG00000235079.1	ZRANB2-AS1	71048854	71058736	1
chr1	ENSG00000172260.14	NEGR1	71395939	72282734	1
chr1	ENSG00000254685.6	FPGT	74198211	74234086	1
chr1	ENSG00000178965.13	ERICH3	74568110	74673738	1
chr1	ENSG00000272864.1	RP11-17E13.2	74698768	74699333	1
